features,weights,abs(weights)
deg_malig_3,0.8583708969640266,0.8583708969640266
deg_malig_2,-0.6208629383162766,0.6208629383162766
age_60-69,0.5140136047612066,0.5140136047612066
deg_malig_1,-0.4949385999897744,0.4949385999897744
breast_quad_right_up,0.46251082653168213,0.46251082653168213
irradiat_no,-0.4365390147453403,0.4365390147453403
menopause_premeno,0.42487702240046177,0.42487702240046177
age_70-79,-0.41516233966614463,0.41516233966614463
menopause_ge40,-0.38288104475089735,0.38288104475089735
breast_quad_left_up,-0.33437689062665793,0.33437689062665793
avg_inv_nodes,0.302966501601955,0.302966501601955
menopause_lt40,-0.29942661899158635,0.29942661899158635
node_caps_no,-0.2949118475560868,0.2949118475560868
breast_right,-0.291058269047328,0.291058269047328
age_20-29,-0.22041144949187103,0.22041144949187103
irradiat_yes,0.17910837340332728,0.17910837340332728
breast_quad_central,-0.17703993637319634,0.17703993637319634
avg_tumor_size,0.1235136410238802,0.1235136410238802
breast_quad_left_low,-0.116863649882995,0.116863649882995
age_50-59,-0.11163860905872544,0.11163860905872544
breast_quad_right_low,-0.09166099099086675,0.09166099099086675
age_40-49,-0.041773191273462726,0.041773191273462726
node_caps_yes,0.037481206214067524,0.037481206214067524
breast_left,0.03362762770530957,0.03362762770530957
age_30-39,0.01754134338696409,0.01754134338696409
